commit	primary_metric	status	description
aefbeba	0.625464	keep	baseline logistic regression with one-hot preprocessing
exp-001	0.667145	keep	hgb_fast_regularized lr=0.05 iter=200 leaf=15 minleaf=5 l2=0.1 feat=0.5 bins=128
exp-002	0.665787	discard	hgb_slow_smoothed lr=0.02 iter=300 leaf=15 minleaf=50 l2=0.0 feat=0.5 bins=32
exp-003	0.665543	discard	hgb_wide_smoothed lr=0.02 iter=800 leaf=15 minleaf=50 l2=0.0 feat=0.5 bins=64
exp-004	0.665408	discard	hgb_fast_high_lr lr=0.1 iter=500 leaf=15 minleaf=5 l2=1.0 feat=1.0 bins=32
exp-005	0.662781	discard	hgb_baseline_boosted lr=0.05 iter=400 leaf=31 minleaf=20 l2=0.0 feat=1.0 bins=255
exp-006	0.664599	discard	hgb_rand_006 lr=0.015 iter=200 leaf=31 minleaf=10 l2=0.01 feat=0.5 bins=32
exp-007	0.663041	discard	hgb_rand_007 lr=0.08 iter=200 leaf=7 minleaf=5 l2=0.0 feat=0.5 bins=64
exp-008	0.664120	discard	hgb_rand_008 lr=0.08 iter=300 leaf=15 minleaf=20 l2=1.0 feat=0.7 bins=32
exp-009	0.664617	discard	hgb_rand_009 lr=0.05 iter=500 leaf=15 minleaf=10 l2=0.1 feat=0.5 bins=32
exp-010	0.662919	discard	hgb_rand_010 lr=0.05 iter=500 leaf=7 minleaf=50 l2=0.5 feat=1.0 bins=32
exp-011	0.664358	discard	hgb_rand_011 lr=0.06 iter=400 leaf=15 minleaf=50 l2=0.0 feat=0.5 bins=64
exp-012	0.660021	discard	hgb_rand_012 lr=0.08 iter=200 leaf=31 minleaf=20 l2=0.1 feat=0.5 bins=128
exp-013	0.666219	discard	hgb_rand_013 lr=0.02 iter=400 leaf=15 minleaf=30 l2=0.01 feat=0.5 bins=255
exp-014	0.662386	discard	hgb_rand_014 lr=0.06 iter=300 leaf=7 minleaf=10 l2=0.0 feat=0.7 bins=255
exp-015	0.660580	discard	hgb_rand_015 lr=0.04 iter=500 leaf=63 minleaf=20 l2=0.5 feat=0.5 bins=128
exp-016	0.657617	discard	hgb_rand_016 lr=0.08 iter=400 leaf=63 minleaf=15 l2=0.01 feat=0.5 bins=255
exp-017	0.659409	discard	hgb_rand_017 lr=0.03 iter=250 leaf=63 minleaf=30 l2=0.0 feat=0.7 bins=255
exp-018	0.664170	discard	hgb_rand_018 lr=0.015 iter=400 leaf=7 minleaf=50 l2=1.0 feat=0.7 bins=128
exp-019	0.663841	discard	hgb_rand_019 lr=0.1 iter=250 leaf=7 minleaf=50 l2=0.1 feat=1.0 bins=64
exp-020	0.663940	discard	hgb_rand_020 lr=0.04 iter=400 leaf=15 minleaf=15 l2=0.01 feat=1.0 bins=32
exp-021	0.663154	discard	hgb_rand_021 lr=0.02 iter=150 leaf=31 minleaf=15 l2=0.01 feat=0.5 bins=64
exp-022	0.663834	discard	hgb_rand_022 lr=0.02 iter=900 leaf=15 minleaf=10 l2=0.5 feat=1.0 bins=64
exp-023	0.662303	discard	hgb_rand_023 lr=0.04 iter=700 leaf=15 minleaf=50 l2=0.1 feat=0.7 bins=128
exp-024	0.665675	discard	hgb_rand_024 lr=0.04 iter=200 leaf=15 minleaf=5 l2=0.1 feat=0.5 bins=64
exp-025	0.665285	discard	hgb_rand_025 lr=0.015 iter=200 leaf=15 minleaf=5 l2=0.0 feat=0.7 bins=32
exp-026	0.662613	discard	hgb_rand_026 lr=0.04 iter=900 leaf=15 minleaf=50 l2=1.0 feat=1.0 bins=255
exp-027	0.663763	discard	hgb_rand_027 lr=0.02 iter=300 leaf=7 minleaf=50 l2=0.5 feat=0.7 bins=255
